code_prefix,country_id,country_code,country_title,region_title,current_rate,billing_term,last_updated,rate_status
"35559794","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35572780","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35581140","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35581141","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35581240","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35581241","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35581340","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35581341","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35581450","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35581451","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35581540","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35586022","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35586070","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35586082","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35586150","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35586260","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35586344","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35586372","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35586424","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35586462","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35586472","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35586494","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35586524","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35586572","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35586582","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35586622","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35586672","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35586750","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35586796","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35586850","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35586892","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35586922","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
